Sample in Buffer	Sample in Window	counter17	counter16	counter15	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	pufout	mux1_out	clockcounter_out
100	100	3303	3217	3228	3256	3247	3264	3250	3328	3210	3180	47	1184	3200	3072	3182	000	000	0	0	000	
101	101	3304	3216	3228	3256	3247	3264	3250	3328	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
102	102	3303	3216	3228	3255	3247	3263	3250	3327	3210	3180	46	1182	3200	3072	3182	000	000	0	0	000	
103	103	3303	3216	3228	3256	3247	3263	3250	3327	3209	3180	48	1182	3200	3072	3182	000	000	0	0	000	
104	104	3303	3217	3228	3256	3247	3264	3250	3327	3209	3180	47	1183	3200	3072	3182	000	000	0	0	000	
105	105	3304	3217	3228	3257	3247	3263	3250	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
106	106	3303	3217	3228	3256	3247	3264	3250	3327	3209	3180	47	1182	3200	3072	3182	000	000	0	0	000	
107	107	3303	3216	3229	3256	3262	3263	3250	3327	3210	3180	1073	1182	3200	3072	3182	000	000	0	0	000	
108	108	3304	3217	3228	3256	3247	3264	3251	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
109	109	3304	3216	3228	3256	3247	3264	3250	3328	3211	3180	47	1184	3200	3072	3183	000	000	0	0	000	
110	110	3304	3216	3228	3255	3247	3263	3250	3327	3211	3180	47	1184	3200	3072	3182	000	000	0	0	000	
111	111	3304	3217	3229	3256	3247	3264	3251	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
112	112	3303	3216	3229	3256	3247	3265	3250	3327	3211	3180	47	1183	3200	3072	3182	000	000	0	0	000	
113	113	3303	3217	3228	3256	3247	3264	3251	3327	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
114	114	3303	3217	3228	3256	3247	3264	3250	3327	3210	3180	47	1182	3200	3072	3183	000	000	0	0	000	
115	115	3304	3218	3228	3256	3249	3264	3251	3312	3210	3180	47	1184	3200	3072	3183	000	000	0	0	000	
116	116	3304	3217	3228	3256	3249	3265	3250	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
117	117	3304	3217	3228	3256	3248	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
118	118	3303	3217	3228	3256	3248	3264	3255	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
119	119	3304	3217	3228	3256	3248	3264	3251	3329	3211	3180	47	1184	3200	3072	3183	000	000	0	0	000	
120	120	3304	3217	3228	3256	3248	3264	3251	3329	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
121	121	3303	3216	3228	3256	3247	3265	3250	3327	3211	3180	47	1183	3200	3072	3182	000	000	0	0	000	
122	122	3304	3216	3228	3256	3247	3264	3251	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
123	123	3304	3216	3228	3256	3247	3264	3251	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
124	124	3304	3216	3228	3256	3247	3264	3251	3327	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
125	125	3304	3217	3228	3256	3247	3264	3251	3328	3210	3180	111	1183	3200	3072	3183	000	000	0	0	000	
126	126	3304	3217	3229	3256	3248	3264	3251	3328	3210	3182	48	1183	3200	3072	3183	000	000	0	0	000	
127	127	3304	3217	3228	3256	3248	3264	3251	3327	3211	3180	47	1183	3200	3072	3184	000	000	0	0	000	
128	128	3304	3217	3228	3256	3247	3264	3251	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
