Sample in Buffer	Sample in Window	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	counter0	pufout	mux1_out	clockcounter_out
240	240	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	000	
241	241	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	000	
242	242	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	000	
243	243	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	000	
244	244	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	000	
245	245	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	000	
246	246	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	000	
247	247	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	000	
248	248	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	000	
249	249	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	000	
250	250	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	000	
251	251	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	000	
252	252	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	000	
253	253	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	000	
254	254	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	000	
255	255	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	000	
256	256	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	000	
257	257	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	000	
258	258	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	000	
259	259	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	000	
260	260	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	000	
261	261	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	1	1	000	
262	262	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	000	
263	263	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	000	
264	264	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	000	
265	265	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	000	
266	266	0	1	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	000	
267	267	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	000	
268	268	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	000	
